Name,Address,Latitude,Longitude,Business Status,Primary Type,Discovery Tier,Discovery Score,Reasons,Matched Themes,Anchor Markets,Google Maps URL,Place ID
Pipeline Constructors LLC,"101 Spurgeon Rd, West Monroe, LA 71291, USA",32.5145233,-92.28489119999999,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Arcadia|LA; Frierson|LA,https://www.google.com/maps/place/?q=place_id:ChIJNfaR-gowLoYRACzG3un6hjc,ChIJNfaR-gowLoYRACzG3un6hjc
Pipeline Controls,"1138 Wall Rd, Broussard, LA 70518, USA",30.078349,-91.93198699999999,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Broussard|LA,https://www.google.com/maps/place/?q=place_id:ChIJN5-iqkF8I4YR6Vmpglz4n8s,ChIJN5-iqkF8I4YR6Vmpglz4n8s
Pipeline Integrity Group,"2042 TX-286, Corpus Christi, TX 78415, USA",27.6574674,-97.45333470000001,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Bay City|TX,https://www.google.com/maps/place/?q=place_id:ChIJiQ6I3fKLaIYRDTRtJOOJHII,ChIJiQ6I3fKLaIYRDTRtJOOJHII
Pipeline Integrity Resources,"6496 McCann Rd, Longview, TX 75605, USA",32.5841863,-94.78033800000001,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Athens|TX,https://www.google.com/maps/place/?q=place_id:ChIJOeqgJFg-NoYRO2ZTjr5IDJA,ChIJOeqgJFg-NoYRO2ZTjr5IDJA
Pipeline Measurement LLC,"4839 US-281, Alice, TX 78332, USA",27.8547646,-98.08581120000001,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Austin|TX; Big Lake|TX,https://www.google.com/maps/place/?q=place_id:ChIJK-3YnYvIZ4YRBPDfll_zT3E,ChIJK-3YnYvIZ4YRBPDfll_zT3E
Pipeline Resources,"555 N Waco St, Van Alstyne, TX 75495, USA",33.4250682,-96.5781093,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Frisco|TX,https://www.google.com/maps/place/?q=place_id:ChIJkVhvshVvTIYRYL1UJrpcmxg,ChIJkVhvshVvTIYRYL1UJrpcmxg
Pipeline Solutions,"176 Strawberry St, Slidell, LA 70460, USA",30.29024,-89.78063,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Frierson|LA,https://www.google.com/maps/place/?q=place_id:ChIJj5D76g7lnYgRRmZ1-oC07fQ,ChIJj5D76g7lnYgRRmZ1-oC07fQ
Pipeline Trucking,"5150 Jefferson Chemical Rd, Conroe, TX 77301, USA",30.3199027,-95.3875987,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Conroe|TX,https://www.google.com/maps/place/?q=place_id:ChIJqeb8mFVHR4YRVaxaDsolcYo,ChIJqeb8mFVHR4YRVaxaDsolcYo
Pipeline White Cliffs,"10355 County Rd S, Lindon, CO 80740, USA",39.7148967,-103.4060434,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Golden|CO,https://www.google.com/maps/place/?q=place_id:ChIJ-4dccP2EcocRKxxmU365yp4,ChIJ-4dccP2EcocRKxxmU365yp4
"Pipeline, Environmental, & Compression Industries LLC","2400 Walker Rd, Lafayette, LA 70506, USA",30.2367616,-92.06869499999999,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Arnaudville|LA; Broussard|LA,https://www.google.com/maps/place/?q=place_id:ChIJ-wBMEPSZJIYRWgXlEhQVSWo,ChIJ-wBMEPSZJIYRWgXlEhQVSWo
Plantation Pipeline Co,"4720 Bonny Oaks Dr, Chattanooga, TN 37416, USA",35.0736759,-85.1948486,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Chattanooga|TN,https://www.google.com/maps/place/?q=place_id:ChIJD8TD0nhhYIgRF9G_Tr7ROFM,ChIJD8TD0nhhYIgRF9G_Tr7ROFM
Plantation Pipeline Co,"4130 MacDonald Rd, Scottsburg, VA 24589, USA",36.7383841,-78.73596479999999,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Coeburn|VA,https://www.google.com/maps/place/?q=place_id:ChIJy8TPGIN9rYkRd4rmbDTlKoA,ChIJy8TPGIN9rYkRd4rmbDTlKoA
Precision Pipeline,"204 Wilson Industrial Dr, Towanda, PA 18848, USA",41.755896,-76.42084059999999,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Harrisburg|PA,https://www.google.com/maps/place/?q=place_id:ChIJ1fD4CJeq2okR90tNiyvCrYs,ChIJ1fD4CJeq2okR90tNiyvCrYs
Precision Pipeline LLC,"3314 56th St, Eau Claire, WI 54703, USA",44.8921278,-91.557836,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Decatur|IL,https://www.google.com/maps/place/?q=place_id:ChIJaY6YcOGY-IcRz2lgsAOUAsk,ChIJaY6YcOGY-IcRz2lgsAOUAsk
Precision Pipeline Services LLC,"10 Whiley Rd, Lancaster, OH 43130, USA",39.727616,-82.681872,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Cambridge|OH; Dennison|OH,https://www.google.com/maps/place/?q=place_id:ChIJpSo8rbGJR4gR6A-MRSHV29o,ChIJpSo8rbGJR4gR6A-MRSHV29o
Precision Pipeline Services LLC,"4033 Oklahoma Ave, Woodward, OK 73801, USA",36.4331231,-99.4341,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Elk City|OK,https://www.google.com/maps/place/?q=place_id:ChIJ3d0hPevEqIcR26OQPclnUkU,ChIJ3d0hPevEqIcR26OQPclnUkU
"Prime Pipeline Construction, LLC","3479 US-277, Carrizo Springs, TX 78834, USA",28.5421021,-99.8854794,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Athens|TX; Big Lake|TX,https://www.google.com/maps/place/?q=place_id:ChIJkcLWYNYzXoYR77AIfzibxJ0,ChIJkcLWYNYzXoYR77AIfzibxJ0
Primoris Pipeline Services,"14455 Primoris Way, Houston, TX 77048, USA",29.6009851,-95.34841999999999,OPERATIONAL,establishment,possible-review,55,operational; related industrial/energy term; pipeline-specific match,pipeline gathering integrity midstream construction,Athens|TX; Brookshire|TX,https://www.google.com/maps/place/?q=place_id:ChIJbUCVywHtQIYRnEB_uGRtH9g,ChIJbUCVywHtQIYRnEB_uGRtH9g
